BusinessName,DBAName,Address,City,State,Zip,LICSTATUS,LICENSECAT,DESCRIPT,LicenseAddDtTm,DAYPHN,Property_ID,Location
# 7 RESTAURANT,,225 Grove,West Roxbury,MA,02132,Active,FT,Eating & Drinking w/ Take Out,03/23/2007 03:20:59 PM,+10000000000,156965,"(42.261873, -71.15741)"
129 Lake Street Cafe,,127 LAKE,Brighton/,MA,02135,Active,FS,Eating & Drinking,10/14/2010 12:49:26 PM,+16175523307,0,"(42.3594, -71.0587)"
149 Eat Street,,300 CHELSEA,Charlestown/,MA,02129,Active,FS,Eating & Drinking,10/11/2007 09:08:52 AM,+16177262520,0,"(42.3594, -71.0587)"
163 Vietnamese Sandwich,,66 Harrison,BOSTON,MA,02111,Active,FS,Eating & Drinking,08/09/2007 01:26:45 PM,+16175427903,,"(42.3594, -71.0587)"
20TH CENTRY BOWLING LANES,,1231 Hyde Park,Hyde Park,MA,02136,Active,FT,Eating & Drinking w/ Take Out,12/07/2006 01:34:04 PM,+13392372645,77089,"(42.25682, -71.12411)"
21 ST. AMENDMENT,,150 Bowdoin,Boston,MA,02108,Active,FS,Eating & Drinking,12/07/2006 01:34:35 PM,+16172277100,158193,"(42.358336, -71.062581)"
224 BOSTON STREET,,224 Boston,Dorchester,MA,02125,Active,FS,Eating & Drinking,12/07/2006 01:35:12 PM,+16175136545,156048,"(42.322272, -71.060848)"
29 Newbury Street,,29 Newbury,Boston,MA,02116,Active,FS,Eating & Drinking,12/07/2006 01:34:07 PM,+16175360290,101524,"(42.35247, -71.07277)"
5 Napkin Burger,,101 Huntington,Boston/,MA,02199,Active,FS,Eating & Drinking,11/05/2010 11:35:09 AM,+16173752277,340845,"(42.346865, -71.080632)"
68 Chinese Fast Food,,48 Winter,Boston,MA,02109,Active,FT,Eating & Drinking w/ Take Out,12/07/2006 01:34:53 PM,+16173382137,155968,"(42.355863, -71.061898)"
